#C = Cell, L = Link, N = Neighbor, M = Midpoint||||||||||||
#Cell_Index||Link_Index|Cell_Zpos|CellXpos|Neighbor_Index|Neighbor_Zpos|Neighbor_Xpos|Midpoint_Zpos|Midpoint_Xpos|CellNeighbor_Distance|Cell_Distance|Neighbor_Distance
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
7|7|182074|-9453|6428|2398|-9170|6098|-9311.5|6263|434.72865099968|217.36432549984|217.36432549984
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
8|8|8-4|-23412|-1340|4|-14791|-12627|-19101.5|-6983.5|14202.746565365|7101.3732826827|7101.3732826827
8|8|8-9|-23412|-1340|9|-14166|2973|-18789|816.5|10202.474454759|5101.2372273793|5101.2372273793
8|8|8-192|-23412|-1340|192|-23473|-2373|-23442.5|-1856.5|1034.7994974873|517.39974874366|517.39974874366
8|8|8-196|-23412|-1340|196|-23548|1491|-23480|75.5|2834.2648076706|1417.1324038353|1417.1324038353
8|8|8-213|-23412|-1340|213|-18260|-1886|-20836|-1613|5180.8512814015|2590.4256407008|2590.4256407008
8|8|8-514|-23412|-1340|514|-23566|-590|-23489|-965|765.6474384467|382.82371922335|382.82371922335
8|8|8-1444|-23412|-1340|1444|-22323|-1420|-22867.5|-1380|1091.9345218464|545.96726092322|545.96726092322
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
9|9|9-4|-14166|2973|4|-14791|-12627|-14478.5|-4827|15612.515012002|7806.2575060012|7806.2575060012
9|9|9-7|-14166|2973|7|-9453|6428|-11809.5|4700.5|5843.7482834222|2921.8741417111|2921.8741417111
9|9|9-8|-14166|2973|8|-23412|-1340|-18789|816.5|10202.474454759|5101.2372273793|5101.2372273793
9|9|9-11|-14166|2973|11|-23264|23797|-18715|13385|22724.712979486|11362.356489743|11362.356489743
9|9|9-46|-14166|2973|46|-13522|3878|-13844|3425.5|1110.7479462056|555.37397310281|555.37397310281
9|9|9-105|-14166|2973|105|-13226|634|-13696|1803.5|2520.8175261212|1260.4087630606|1260.4087630606
9|9|9-214|-14166|2973|214|-14622|3194|-14394|3083.5|506.7316844248|253.3658422124|253.3658422124
9|9|9-467|-14166|2973|467|-15349|2889|-14757.5|2931|1185.9784989619|592.98924948097|592.98924948097
9|9|9-1095|-14166|2973|1095|-12955|2673|-13560.5|2823|1247.6061077119|623.80305385594|623.80305385594
9|9|9-1159|-14166|2973|1159|-15216|1914|-14691|2443.5|1491.3017803248|745.65089016241|745.65089016241
9|9|30195|-14166|2973|1982|-14234|4881|-14200|3927|1909.2113555078|954.60567775391|954.60567775391
9|9|74389|-14166|2973|2103|-13774|2230|-13970|2601.5|840.06725921202|420.03362960601|420.03362960601
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
10|10|10-1|1374|10662|1|-3421|6409|-1023.5|8535.5|6409.3707959518|3204.6853979759|3204.6853979759
10|10|10-6|1374|10662|6|-7163|23056|-2894.5|16859|15049.638035514|7524.8190177572|7524.8190177572
10|10|10-12|1374|10662|12|7017|8662|4195.5|9662|5986.9398694158|2993.4699347079|2993.4699347079
10|10|10-18|1374|10662|18|2227|12385|1800.5|11523.5|1922.5862789482|961.29313947411|961.29313947411
10|10|10-138|1374|10662|138|939|12436|1156.5|11549|1826.5544065261|913.27720326306|913.27720326306
10|10|10-188|1374|10662|188|2892|10060|2133|10361|1633.0119411688|816.50597058442|816.50597058442
10|10|10-343|1374|10662|343|2089|11438|1731.5|11050|1055.178184005|527.58909200248|527.58909200248
10|10|10-1328|1374|10662|1328|1219|10026|1296.5|10344|654.61515411729|327.30757705864|327.30757705864
10|10|117883|1374|10662|2222|2648|10071|2011|10366.5|1404.406280248|702.203140124|702.203140124
10|10|165365|1374|10662|2352|743|10840|1058.5|10751|655.62565538575|327.81282769288|327.81282769288
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
11|11|11-6|-23264|23797|6|-7163|23056|-15213.5|23426.5|16118.04212676|8059.0210633798|8059.0210633798
11|11|11-7|-23264|23797|7|-9453|6428|-16358.5|15112.5|22190.671057902|11095.335528951|11095.335528951
11|11|11-9|-23264|23797|9|-14166|2973|-18715|13385|22724.712979486|11362.356489743|11362.356489743
11|11|11-174|-23264|23797|174|-23746|20809|-23505|22303|3026.626504873|1513.3132524365|1513.3132524365
11|11|11-202|-23264|23797|202|-18756|22441|-21010|23119|4707.5258894668|2353.7629447334|2353.7629447334
11|11|11-759|-23264|23797|759|-21764|23961|-22514|23879|1508.9386998815|754.46934994074|754.46934994074
11|11|39387|-23264|23797|2007|-23520|23317|-23392|23557|544|272|272
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
12|12|12-2|7017|8662|2|1905|-9319|4461|-328.5|18693.552498121|9346.7762490604|9346.7762490604
12|12|12-5|7017|8662|5|14269|279|10643|4470.5|11084.502379449|5542.2511897243|5542.2511897243
12|12|12-10|7017|8662|10|1374|10662|4195.5|9662|5986.9398694158|2993.4699347079|2993.4699347079
12|12|12-41|7017|8662|41|6416|8545|6716.5|8603.5|612.28261448452|306.14130724226|306.14130724226
12|12|12-66|7017|8662|66|10567|8753|8792|8707.5|3551.1661464933|1775.5830732466|1775.5830732466
12|12|12-178|7017|8662|178|8218|11616|7617.5|10139|3188.8112205021|1594.405610251|1594.405610251
12|12|12-1068|7017|8662|1068|8330|8614|7673.5|8638|1313.8770870976|656.93854354879|656.93854354879
12|12|12-1266|7017|8662|1266|6152|8041|6584.5|8351.5|1064.8314420602|532.4157210301|532.4157210301
12|12|12-1517|7017|8662|1517|6995|7744|7006|8203|918.26357871801|459.131789359|459.131789359
12|12|169078|7017|8662|2362|6958|8809|6987.5|8735.5|158.39823231337|79.199116156684|79.199116156684
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
13|13|13-2|8938|-12375|2|1905|-9319|5421.5|-10847|7668.2608849726|3834.1304424863|3834.1304424863
13|13|13-5|8938|-12375|5|14269|279|11603.5|-6048|13731.106182679|6865.5530913394|6865.5530913394
13|13|13-58|8938|-12375|58|7603|-10059|8270.5|-11217|2673.2154795302|1336.6077397651|1336.6077397651
13|13|13-85|8938|-12375|85|10232|-12176|9585|-12275.5|1309.212358634|654.606179317|654.606179317
13|13|13-121|8938|-12375|121|7206|-15316|8072|-13845.5|3413.1078213265|1706.5539106632|1706.5539106632
13|13|13-149|8938|-12375|149|5846|-13701|7392|-13038|3364.3335149774|1682.1667574887|1682.1667574887
13|13|13-220|8938|-12375|220|10244|-13752|9591|-13063.5|1897.8316574449|948.91582872244|948.91582872244
13|13|13-688|8938|-12375|688|9764|-12131|9351|-12253|861.28508636804|430.64254318402|430.64254318402
13|13|13-877|8938|-12375|877|8266|-11228|8602|-11801.5|1329.3581157837|664.67905789185|664.67905789185
13|13|13-1160|8938|-12375|1160|9791|-13031|9364.5|-12703|1076.0785287329|538.03926436646|538.03926436646
13|13|13-2356|8938|-12375|2356|7986|-12226|8462|-12300.5|963.58964294974|481.79482147487|481.79482147487
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
14|14|14-2|-9619|-11276|2|1905|-9319|-3857|-10297.5|11688.987338517|5844.4936692583|5844.4936692583
14|14|14-4|-9619|-11276|4|-14791|-12627|-12205|-11951.5|5345.5387941722|2672.7693970861|2672.7693970861
14|14|14-9|-9619|-11276|9|-14166|2973|-11892.5|-4151.5|14956.911780177|7478.4558900885|7478.4558900885
14|14|14-16|-9619|-11276|16|-6761|-12531|-8190|-11903.5|3121.4081758078|1560.7040879039|1560.7040879039
14|14|14-113|-9619|-11276|113|-11259|-13272|-10439|-12274|2583.3342795697|1291.6671397849|1291.6671397849
14|14|14-165|-9619|-11276|165|-11493|-9899|-10556|-10587.5|2325.5117716322|1162.7558858161|1162.7558858161
14|14|14-172|-9619|-11276|172|-5887|-10301|-7753|-10788.5|3857.2592601483|1928.6296300742|1928.6296300742
14|14|14-660|-9619|-11276|660|-7772|-11434|-8695.5|-11355|1853.7456675607|926.87283378034|926.87283378034
14|14|14-826|-9619|-11276|826|-7764|-10763|-8691.5|-11019.5|1924.6282757977|962.31413789885|962.31413789885
14|14|14-1719|-9619|-11276|1719|-9169|-12851|-9394|-12063.5|1638.0247250881|819.01236254406|819.01236254406
14|14|14-1795|-9619|-11276|1795|-9938|-10781|-9778.5|-11028.5|588.88538783026|294.44269391513|294.44269391513
14|14|14-2030|-9619|-11276|2030|-10350|-11343|-9984.5|-11309.5|734.06402990475|367.03201495237|367.03201495237
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
15|15|15-13|14903|-17764|13|8938|-12375|11920.5|-15069.5|8038.8149624183|4019.4074812091|4019.4074812091
15|15|15-65|14903|-17764|65|16123|-20646|15513|-19205|3129.5884713489|1564.7942356745|1564.7942356745
15|15|15-161|14903|-17764|161|18106|-17530|16504.5|-17647|3211.5362367565|1605.7681183782|1605.7681183782
15|15|15-190|14903|-17764|190|11518|-19828|13210.5|-18796|3964.6337787998|1982.3168893999|1982.3168893999
15|15|15-195|14903|-17764|195|11078|-13445|12990.5|-15604.5|5769.2621711966|2884.6310855983|2884.6310855983
15|15|15-719|14903|-17764|719|15074|-17402|14988.5|-17583|400.35609149856|200.17804574928|200.17804574928
15|15|15-1212|14903|-17764|1212|14026|-18193|14464.5|-17978.5|976.3042558547|488.15212792735|488.15212792735
15|15|15-1852|14903|-17764|1852|15432|-17695|15167.5|-17729.5|533.48102121819|266.74051060909|266.74051060909
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
16|16|16-2|-6761|-12531|2|1905|-9319|-2428|-10925|9242.1047386404|4621.0523693202|4621.0523693202
16|16|16-3|-6761|-12531|3|-7744|5208|-7252.5|-3661.5|17766.215410154|8883.1077050771|8883.1077050771
16|16|16-4|-6761|-12531|4|-14791|-12627|-10776|-12579|8030.5738275667|4015.2869137834|4015.2869137834
16|16|16-9|-6761|-12531|9|-14166|2973|-10463.5|-4779|17181.619277588|8590.8096387942|8590.8096387942
16|16|16-14|-6761|-12531|14|-9619|-11276|-8190|-11903.5|3121.4081758078|1560.7040879039|1560.7040879039
16|16|16-39|-6761|-12531|39|-10444|-14610|-8602.5|-13570.5|4229.2706226961|2114.635311348|2114.635311348
16|16|16-81|-6761|-12531|81|-4823|-11484|-5792|-12007.5|2202.7376148784|1101.3688074392|1101.3688074392
16|16|16-122|-6761|-12531|122|-3894|-15146|-5327.5|-13838.5|3880.4528086294|1940.2264043147|1940.2264043147
16|16|16-172|-6761|-12531|172|-5887|-10301|-6324|-11416|2395.1567798372|1197.5783899186|1197.5783899186
16|16|16-845|-6761|-12531|845|-5925|-13516|-6343|-13023.5|1291.9446582575|645.97232912873|645.97232912873
16|16|16-1030|-6761|-12531|1030|-7177|-12508|-6969|-12519.5|416.63533215511|208.31766607756|208.31766607756
16|16|16-1682|-6761|-12531|1682|-5339|-11264|-6050|-11897.5|1904.566354843|952.28317742151|952.28317742151
16|16|16-1732|-6761|-12531|1732|-6531|-10907|-6646|-11719|1640.2060846125|820.10304230627|820.10304230627
16|16|16-1815|-6761|-12531|1815|-7049|-13448|-6905|-12989.5|961.16231719726|480.58115859863|480.58115859863
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
17|17|17-5|17323|14676|5|14269|279|15796|7477.5|14717.354551685|7358.6772758424|7358.6772758424
17|17|17-12|17323|14676|12|7017|8662|12170|11669|11932.385846929|5966.1929234647|5966.1929234647
17|17|17-20|17323|14676|20|12962|12918|15142.5|13797|4702.0086133481|2351.0043066741|2351.0043066741
17|17|17-59|17323|14676|59|20106|12444|18714.5|13560|3567.4799228587|1783.7399614294|1783.7399614294
17|17|17-92|17323|14676|92|19947|15031|18635|14853.5|2647.9050209552|1323.9525104776|1323.9525104776
17|17|17-109|17323|14676|109|13890|16197|15606.5|15436.5|3754.8541915766|1877.4270957883|1877.4270957883
17|17|17-129|17323|14676|129|17758|16671|17540.5|15673.5|2041.8741391183|1020.9370695591|1020.9370695591
17|17|17-179|17323|14676|179|16086|10308|16704.5|12492|4539.7789593768|2269.8894796884|2269.8894796884
17|17|17-903|17323|14676|903|17064|14397|17193.5|14536.5|380.68622249827|190.34311124913|190.34311124913
17|17|17-943|17323|14676|943|17372|15230|17347.5|14953|556.1627459656|278.0813729828|278.0813729828
17|17|17-1432|17323|14676|1432|16604|14928|16963.5|14802|761.88253687823|380.94126843911|380.94126843911
17|17|17-1443|17323|14676|1443|17789|14343|17556|14509.5|572.7521278878|286.3760639439|286.3760639439
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
18|18|18-6|2227|12385|6|-7163|23056|-2468|17720.5|14214.159876686|7107.0799383432|7107.0799383432
18|18|18-10|2227|12385|10|1374|10662|1800.5|11523.5|1922.5862789482|961.29313947411|961.29313947411
18|18|18-12|2227|12385|12|7017|8662|4622|10523.5|6066.6983607231|3033.3491803615|3033.3491803615
18|18|18-29|2227|12385|29|3281|14204|2754|13294.5|2102.3027850431|1051.1513925216|1051.1513925216
18|18|18-118|2227|12385|118|4279|11798|3253|12091.5|2134.3085531385|1067.1542765692|1067.1542765692
18|18|18-138|2227|12385|138|939|12436|1583|12410.5|1289.0093095087|644.50465475433|644.50465475433
18|18|18-188|2227|12385|188|2892|10060|2559.5|11222.5|2418.2328258462|1209.1164129231|1209.1164129231
18|18|18-407|2227|12385|407|3490|12674|2858.5|12529.5|1295.6426976601|647.82134883006|647.82134883006
18|18|18-476|2227|12385|476|1622|12938|1924.5|12661.5|819.65480539066|409.82740269533|409.82740269533
18|18|18-1110|2227|12385|1110|1989|11799|2108|12092|632.48715401975|316.24357700987|316.24357700987
18|18|18-1602|2227|12385|1602|2278|13004|2252.5|12694.5|621.09741586968|310.54870793484|310.54870793484
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
19|19|19-1|3958|-2858|1|-3421|6409|268.5|1775.5|11845.966824198|5922.983412099|5922.983412099
19|19|19-2|3958|-2858|2|1905|-9319|2931.5|-6088.5|6779.3310879467|3389.6655439733|3389.6655439733
19|19|19-5|3958|-2858|5|14269|279|9113.5|-1289.5|10777.63842407|5388.8192120352|5388.8192120352
19|19|19-12|3958|-2858|12|7017|8662|5487.5|2902|11919.223170996|5959.6115854978|5959.6115854978
19|19|19-96|3958|-2858|96|3572|-601|3765|-1729.5|2289.7696390685|1144.8848195343|1144.8848195343
19|19|19-125|3958|-2858|125|683|-3163|2320.5|-3010.5|3289.1716282371|1644.5858141186|1644.5858141186
19|19|19-134|3958|-2858|134|7174|-2969|5566|-2913.5|3217.9150082002|1608.9575041001|1608.9575041001
19|19|19-747|3958|-2858|747|4756|-3512|4357|-3185|1031.7557850577|515.87789252884|515.87789252884
19|19|19-1013|3958|-2858|1013|3434|-2042|3696|-2450|969.75873288153|484.87936644077|484.87936644077
19|19|19-1201|3958|-2858|1201|3263|-3322|3610.5|-3090|835.65602971558|417.82801485779|417.82801485779
19|19|19-1590|3958|-2858|1590|4819|-2516|4388.5|-2687|926.4367220701|463.21836103505|463.21836103505
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
20|20|20-5|12962|12918|5|14269|279|13615.5|6598.5|12706.398781716|6353.1993908581|6353.1993908581
20|20|20-12|12962|12918|12|7017|8662|9989.5|10790|7311.3993872582|3655.6996936291|3655.6996936291
20|20|20-17|12962|12918|17|17323|14676|15142.5|13797|4702.0086133481|2351.0043066741|2351.0043066741
20|20|20-57|12962|12918|57|11101|10580|12031.5|11749|2988.2377750105|1494.1188875053|1494.1188875053
20|20|20-79|12962|12918|79|8819|14206|10890.5|13562|4338.5934356655|2169.2967178328|2169.2967178328
20|20|20-109|12962|12918|109|13890|16197|13426|14557.5|3407.7888725683|1703.8944362841|1703.8944362841
20|20|20-199|12962|12918|199|14221|9862|13591.5|11390|3305.1803279095|1652.5901639548|1652.5901639548
20|20|20-718|12962|12918|718|13611|12025|13286.5|12471.5|1103.9248162805|551.96240814026|551.96240814026
20|20|20-1138|12962|12918|1138|12429|13476|12695.5|13197|771.65601144551|385.82800572276|385.82800572276
20|20|20-1396|12962|12918|1396|14354|13254|13658|13086|1431.9776534569|715.98882672846|715.98882672846
20|20|20-1786|12962|12918|1786|13705|14040|13333.5|13479|1345.7091067538|672.85455337688|672.85455337688
20|20|20-1807|12962|12918|1807|12645|12608|12803.5|12763|443.38358111234|221.69179055617|221.69179055617
#||||||||||||
#C_Idx||L_Idx|C_Z|C_X|N_Idx|N_Z|N_X|M_Z|M_X|CN_Dist|C_Dist|N_Dist
21|21|21-12|19989|23365|12|7017|8662|13503|16013.5|19607.421885602|9803.7109428012|9803.7109428012
21|21|21-112|19989|23365|112|19325|18581|19657|20973|4829.8604534707|2414.9302267353|2414.9302267353
21|21|21-128|19989|23365|128|14141|22181|17065|22773|5966.654003711|2983.3270018555|2983.3270018555
