#Cell_Idx|Cell_Z|Cell_X|Master_Idx|Parent_Idx|Tier
#C_Idx|C_Z|C_X|M_Idx|P_Idx|Tier
155|-3464|10125|1|1|2
156|3803|794|12|12|2
157|-11697|-2506|9|9|2
158|-9423|15182|6|6|2
159|2772|21544|6|6|2
160|-21665|8077|9|9|2
161|18106|-17530|13|13|2
162|11512|6218|12|12|2
163|-173|-2179|2|2|2
164|-11667|20914|6|6|2
165|-11493|-9899|4|4|2
166|-15475|-3383|9|9|2
167|-12560|11218|7|7|2
168|-10059|20670|6|6|2
169|17564|6240|5|5|2
170|5778|-15480|13|13|2
171|-8603|10038|7|7|2
172|-5887|-10301|2|2|2
173|-15748|21003|11|11|2
174|-23746|20809|11|11|2
175|-14184|6088|9|9|2
176|21185|-20239|13|13|2
177|2297|22954|6|6|2
178|8218|11616|12|12|2
179|16086|10308|12|12|2
180|-17419|13734|7|7|2
181|20363|-4420|5|5|2
182|-9448|-21271|4|4|2
183|9685|-2789|5|5|2
184|-6748|17287|6|6|2
185|-528|12631|10|10|2
186|7473|13296|12|12|2
187|-17025|-21142|4|4|2
188|2892|10060|10|10|2
189|18594|-13257|13|13|2
190|11518|-19828|13|13|2
191|20519|-18473|13|13|2
192|-23473|-2373|8|8|2
193|9107|4400|12|12|2
194|1932|-22439|13|13|2
195|11078|-13445|13|13|2
196|-23548|1491|8|8|2
197|-14550|19175|6|6|2
198|7509|-5726|2|2|2
199|14221|9862|12|12|2
200|-13083|22075|6|6|2
201|-22500|-13074|4|4|2
202|-18756|22441|11|11|2
203|21278|-8965|5|5|2
204|-17805|11642|9|9|2
205|-11385|-23069|4|4|2
206|13392|-22548|13|13|2
207|23439|12444|5|5|2
208|20440|-18964|13|13|2
209|-4626|-5910|2|2|2
210|-11005|21047|6|6|2
211|2662|-12965|2|2|2
212|10040|-9232|13|13|2
213|-18260|-1886|8|8|2
214|-14622|3194|9|9|2
215|-8464|-3274|9|9|2
216|23094|11081|5|5|2
217|17054|18552|12|12|2
218|5416|-9792|2|2|2
219|8040|5698|12|12|2
220|10244|-13752|13|13|2
221|19876|-11756|13|13|2
#
222|10589|-22475|13|153|3
223|15373|10756|12|179|3
224|-18401|7091|9|72|3
225|23118|-18299|13|191|3
226|-9582|-22239|4|30|3
227|-3236|11678|10|155|3
228|21660|17875|12|80|3
229|-17567|-8958|4|116|3
230|-17182|10964|9|204|3
231|-23351|-16985|4|100|3
232|-5671|-3684|3|87|3
233|-19091|-13649|4|123|3
234|23122|19371|12|80|3
235|3430|-17980|13|24|3
236|-896|17777|10|133|3
237|16770|-6532|5|141|3
238|2201|-23186|13|194|3
239|-16303|-19759|4|187|3
240|-9023|10970|7|171|3
241|-17166|-22757|4|187|3
242|8830|365|5|86|3
243|7599|-22241|13|28|3
244|-12209|-3312|9|157|3
245|7473|20890|10|74|3
246|20106|-13562|13|77|3
247|989|17172|10|48|3
248|-3524|-5516|2|88|3
249|22717|21013|12|21|3
250|6120|21398|10|69|3
251|9204|-3027|5|183|3
252|12306|-12749|13|195|3
253|17711|-12019|13|135|3
254|1294|-20675|13|67|3
255|-9650|18579|6|168|3
256|9337|-3088|5|183|3
257|-23809|10774|8|160|3
258|-18438|-22470|4|187|3
259|23066|7318|5|107|3
260|-21193|11021|9|160|3
261|14475|16167|12|109|3
262|-19386|15621|11|180|3
263|1206|-10916|2|32|3
264|2710|8164|10|22|3
265|-9316|19065|6|168|3
266|-16391|-2682|9|166|3
267|-14103|-17417|4|91|3
268|-982|-23563|2|67|3
269|9250|21118|12|74|3
270|3135|-4420|2|19|3
271|-11919|-19839|4|91|3
272|-3633|15236|10|117|3
273|-7475|16175|6|184|3
274|-10140|17947|6|168|3
275|7977|-1185|5|86|3
276|15683|8042|5|34|3
277|7955|-18|5|86|3
278|8368|19125|12|74|3
279|9392|-16426|13|121|3
280|9561|22610|12|74|3
281|-17376|-2232|8|213|3
282|2258|-19881|13|143|3
283|-17437|3375|9|150|3
284|149|-6879|2|95|3
285|-3693|-17502|2|122|3
286|5212|10871|12|118|3
287|23744|9696|5|216|3
288|-16788|17789|11|197|3
289|-18441|-2005|8|213|3
290|544|4760|1|22|3
291|23673|-1764|5|82|3
292|-23790|-8534|8|99|3
293|22304|-22209|13|94|3
294|-15310|-23228|4|187|3
295|10362|20874|12|74|3
296|18207|-12135|13|135|3
297|3745|-9050|2|218|3
298|-16226|3219|9|214|3
299|-6076|-23915|4|104|3
300|7235|-15404|13|121|3
301|-4567|-7268|2|209|3
302|-13480|293|9|105|3
303|15144|-6918|5|141|3
304|-3801|6580|1|155|3
305|13798|-14588|13|195|3
306|21124|23333|12|21|3
307|5827|-4217|2|134|3
308|-15199|-8843|4|53|3
309|10054|9437|12|66|3
310|-2433|3028|1|55|3
311|-1007|10654|10|185|3
312|3503|18254|10|126|3
313|4459|10204|12|119|3
314|-4361|5063|1|93|3
315|8486|9909|12|178|3
316|14876|-21813|13|27|3
317|-2966|-17915|2|122|3
318|-9802|5442|7|140|3
319|-20038|-652|8|213|3
320|-3684|-15782|2|122|3
321|-22870|14185|11|180|3
322|-4540|-6073|2|209|3
323|405|17643|10|48|3
324|-12972|-427|9|105|3
325|6180|9705|12|119|3
326|-16733|14653|7|180|3
327|13657|-4970|5|141|3
328|15436|16265|12|109|3
329|17394|-7023|5|35|3
330|-5734|-2393|3|87|3
331|8375|5188|12|219|3
332|8267|12308|12|178|3
333|16526|-18133|13|15|3
334|-3641|15140|10|117|3
335|-22878|-3805|8|192|3
336|20056|8707|5|73|3
337|-6522|12074|7|171|3
338|835|23980|6|177|3
339|18019|-7576|5|35|3
340|-1068|16512|10|133|3
341|-9475|-6716|4|87|3
342|18209|-249|5|131|3
343|2089|11438|10|18|3
344|-14951|-12185|4|90|3
345|-3064|13040|10|185|3
346|-22662|-3111|8|192|3
347|-4790|9319|1|155|3
348|1465|-21482|13|67|3
349|15035|-21473|13|65|3
350|-19765|-3235|8|213|3
351|3560|-11991|2|211|3
352|6513|-23074|13|28|3
353|18388|19677|12|112|3
354|11411|18559|12|124|3
355|16183|-4584|5|141|3
356|17927|8842|5|73|3
357|-15448|14391|7|180|3
358|23463|6175|5|107|3
359|-12657|-5771|4|114|3
360|14848|2955|5|36|3
361|20459|-5709|5|181|3
362|-5396|22281|6|49|3
363|15748|-16843|13|15|3
364|13632|17558|12|110|3
365|-9386|-15554|4|39|3
366|-1841|-21179|2|44|3
367|-22290|-2335|8|192|3
368|10180|18202|12|124|3
369|21815|-6819|5|203|3
370|14244|-10526|13|135|3
371|-4855|7622|1|155|3
372|-11146|-17720|4|108|3
373|3724|-8088|2|218|3
374|12778|4975|5|162|3
375|5971|-23016|13|28|3
376|14021|10062|12|199|3
377|8884|-22939|13|127|3
378|17083|-21163|13|65|3
379|6994|16335|12|79|3
380|-10102|-18552|4|108|3
381|-12287|9819|7|167|3
382|-10338|18428|6|168|3
383|7458|-18276|13|120|3
384|-16500|-19640|4|187|3
385|-870|12696|10|185|3
386|-12237|1030|9|105|3
387|-14676|21473|6|173|3
388|13137|-20921|13|206|3
389|-10828|-3618|9|157|3
390|-15783|15134|7|145|3
391|2915|-8536|2|32|3
392|-7684|-12115|4|16|3
393|12849|18798|12|76|3
394|-22890|-4769|8|192|3
395|17212|10336|12|179|3
396|-9556|4161|3|54|3
397|-19093|18784|11|98|3
398|17791|-18434|13|161|3
399|-1007|10958|10|185|3
400|-15982|8791|9|63|3
401|6705|-22041|13|28|3
402|-11219|4364|7|54|3
403|6372|2104|12|142|3
404|-20858|8711|9|160|3
405|-4382|8659|1|155|3
406|-18765|-4208|8|213|3
407|3490|12674|10|118|3
408|-23576|1412|8|196|3
409|-19563|11172|9|204|3
410|13006|-21347|13|206|3
411|-11889|4206|9|54|3
412|-10703|-18111|4|108|3
413|9287|1144|5|86|3
414|22806|-19730|13|176|3
415|18483|14619|12|17|3
416|9202|-18858|13|120|3
417|14817|14123|12|20|3
418|-17295|-13855|4|123|3
419|-19230|-23695|4|187|3
420|-20134|10859|9|204|3
421|-17431|-7378|4|136|3
422|-6989|11795|7|171|3
423|8263|-4516|5|198|3
424|9197|-1381|5|86|3
425|-16923|-15527|4|90|3
426|-16203|-18796|4|187|3
427|76|-23751|13|67|3
428|-10083|1438|9|144|3
429|-16946|15343|11|180|3
430|8112|2894|12|142|3
431|9572|5625|12|26|3
432|-16827|18594|11|98|3
433|1151|-15473|2|24|3
434|10086|-13157|13|220|3
435|15320|-20680|13|65|3
436|8052|2804|12|142|3
437|-14602|8353|9|63|3
438|-17440|-2079|8|213|3
439|567|21815|6|177|3
440|-19780|17550|11|98|3
441|-7106|-23968|4|182|3
442|-21491|4234|8|60|3
443|-3695|21341|6|25|3
444|4030|16347|10|29|3
445|22335|17596|12|80|3
446|19161|17970|12|80|3
447|12075|-11659|13|85|3
448|358|-355|1|55|3
449|-17460|-16113|4|89|3
450|15692|1242|5|36|3
451|11410|19822|12|124|3
452|13938|-19356|13|15|3
453|-17663|18516|11|98|3
454|-7210|23976|6|47|3
455|-17948|21860|11|202|3
456|16075|16368|12|129|3
457|21050|11870|5|59|3
458|868|13536|10|138|3
459|10163|-13098|13|220|3
460|23760|8173|5|107|3
461|20847|-22271|13|176|3
462|15669|7529|5|68|3
463|-8395|-20372|4|182|3
464|8504|10437|12|178|3
465|-14611|-17308|4|91|3
466|-2773|-22279|2|44|3
467|-15349|2889|9|214|3
468|15302|-11001|13|135|3
469|3026|-19130|13|143|3
470|-22912|18333|11|174|3
471|15402|16042|12|109|3
472|4437|18352|10|61|3
473|-2557|-6972|2|95|3
474|-4757|-5377|2|209|3
475|-3437|21080|6|25|3
476|1622|12938|10|18|3
477|-15593|-7411|4|114|3
478|15548|-13218|13|135|3
479|1970|-12537|2|211|3
480|-5265|-2928|3|146|3
481|-177|4453|1|55|3
482|-20284|-11255|4|123|3
483|-22691|-2971|8|192|3
484|15844|-5517|5|141|3
485|-20011|-13488|4|123|3
486|-1114|21926|6|25|3
487|286|21350|6|159|3
488|-14454|9517|7|63|3
489|-10758|615|9|144|3
490|15416|18828|12|217|3
491|-11756|-474|9|144|3
492|-20681|-19301|4|130|3
493|-3521|-11698|2|37|3
494|20896|3262|5|38|3
495|-2918|-8904|2|64|3
496|-1838|10116|10|155|3
497|411|6522|1|22|3
498|22311|3789|5|107|3
499|21698|18459|12|80|3
500|-4134|-18526|2|104|3
501|22948|-3804|5|71|3
502|-11110|-2300|9|157|3
503|-2945|23414|6|49|3
504|-15236|-12248|4|90|3
505|21939|-23702|13|94|3
506|-21472|10706|9|160|3
507|-18947|-14118|4|123|3
508|-14110|-5008|4|114|3
509|-21262|22531|11|202|3
510|-13202|-21607|4|70|3
511|-1502|14102|10|185|3
512|-1180|23059|6|177|3
513|-14706|-13816|4|90|3
514|-23566|-590|8|192|3
515|14002|-6533|5|141|3
516|2462|-21736|13|194|3
517|2376|-14552|2|24|3
518|21228|-14482|13|51|3
519|330|1690|1|55|3
520|11312|19750|12|124|3
521|2104|3446|1|102|3
522|1210|-16502|2|24|3
523|14813|10407|12|199|3
524|10035|-2621|5|183|3
525|-4931|-5902|2|209|3
526|-16083|-15267|4|90|3
527|6409|-16791|13|170|3
528|21270|-4231|5|181|3
529|23992|10690|5|216|3
530|345|6607|1|22|3
531|2504|-3223|2|19|3
532|3848|-8395|2|218|3
533|20159|-6324|5|181|3
534|19328|-8401|5|35|3
535|15673|12666|12|179|3
536|-157|4185|1|55|3
537|-23550|18706|11|174|3
538|15750|-4093|5|78|3
539|15056|18743|12|217|3
540|23740|-5261|5|181|3
541|9875|-11062|13|85|3
542|12815|-19673|13|190|3
543|-12516|13802|7|132|3
544|-11121|19865|6|164|3
545|408|-21249|2|67|3
546|-5516|9025|1|155|3
547|2780|-21064|13|143|3
548|-21259|-9718|4|99|3
549|-143|14078|10|185|3
550|7396|-20393|13|120|3
551|-7053|12200|7|171|3
552|4250|8945|12|137|3
553|-8175|16289|6|158|3
554|7454|-5919|2|198|3
555|-11726|-9514|4|165|3
556|-4504|-23354|4|44|3
557|665|10867|10|138|3
558|-14592|20831|6|173|3
559|7985|13579|12|186|3
560|10122|-20689|13|84|3
561|16030|-6193|5|141|3
562|-6447|-19229|4|104|3
563|-317|-16252|2|24|3
564|-18501|-23508|4|187|3
565|-8449|-5981|4|87|3
566|-13223|-11530|4|31|3
567|16681|5259|5|169|3
568|16022|-1552|5|78|3
569|14796|22196|12|128|3
570|9165|-14158|13|220|3
571|-8768|-19951|4|182|3
572|11357|11330|12|57|3
573|1244|6963|10|22|3
574|7151|-22013|13|28|3
575|7340|22838|10|74|3
576|18949|17075|12|129|3
577|-5658|18496|6|184|3
578|4143|13939|10|29|3
579|-5042|-7563|2|209|3
580|13031|-15812|13|15|3
581|-9780|-19145|4|108|3
582|-3726|-6702|2|95|3
583|15304|10777|12|179|3
584|6563|2384|12|142|3
585|-21668|-19935|4|130|3
586|-16956|4091|9|214|3
587|-4614|19056|6|25|3
588|17588|-16469|13|161|3
589|20109|6761|5|38|3
590|-10476|16884|6|158|3
591|-1234|14751|10|133|3
592|16691|-12344|13|135|3
593|-8195|-14983|4|39|3
594|-6384|20793|6|49|3
595|-12165|-18281|4|91|3
596|-7766|-5233|4|87|3
597|-4737|-4278|2|209|3
598|-19535|-21397|4|89|3
599|-908|18149|10|133|3
600|-1916|-16273|2|122|3
601|-3735|11631|10|155|3
602|-21190|22926|11|202|3
603|-17363|16320|11|180|3
604|15077|-3734|5|78|3
605|14062|3418|5|36|3
606|14010|7701|12|199|3
607|-598|12967|10|185|3
608|-23162|-23046|4|130|3
609|8130|7602|12|40|3
610|9761|-10607|13|212|3
611|22973|-23096|13|94|3
612|3002|-7223|2|218|3
613|-18741|-11365|4|116|3
614|-18935|20715|11|98|3
615|-12335|-5782|4|114|3
616|-3082|23306|6|49|3
617|8696|-3705|5|183|3
618|20397|-8216|5|203|3
619|14736|23764|12|128|3
620|-14131|7998|7|63|3
621|-7430|-22302|4|182|3
622|14471|-8390|13|106|3
623|-6198|-19710|4|104|3
624|-2274|19655|6|25|3
625|16807|10309|12|179|3
626|1441|-12989|2|111|3
627|14093|8034|12|199|3
628|1576|-20886|13|67|3
629|-4717|-18181|2|104|3
630|-8381|10807|7|171|3
631|-23105|407|8|196|3
632|-23283|-19103|4|130|3
633|23864|-10874|5|203|3
634|16439|16760|12|129|3
635|1206|19772|6|126|3
636|3854|-16034|13|24|3
637|16092|7631|5|68|3
638|-11811|-12671|4|113|3
639|-15690|942|9|105|3
640|14128|12129|12|20|3
641|23584|19921|12|80|3
642|14313|-12334|13|135|3
643|10720|4035|5|193|3
644|17323|13601|12|17|3
645|5772|-16681|13|170|3
646|1366|7363|10|22|3
647|16845|-17947|13|161|3
648|7554|13939|12|186|3
649|-11503|-20746|4|91|3
650|-5126|-22748|4|44|3
651|-19944|-4451|8|213|3
652|12523|6354|12|162|3
653|19528|15821|12|92|3
654|-5899|5376|3|93|3
655|18551|13517|12|17|3
656|-5776|-18853|4|104|3
657|2706|-14662|2|24|3
658|5780|-4907|2|198|3
659|16144|-8365|13|35|3
660|-7772|-11434|4|16|3
661|21811|-14516|13|77|3
662|17036|11898|12|179|3
663|20681|3036|5|38|3
664|17193|12261|12|179|3
665|-4812|-21154|4|104|3
666|-22677|3259|8|60|3
667|-2806|20384|6|25|3
668|-14663|910|9|105|3
669|9154|17599|12|154|3
670|-23171|5708|8|60|3
671|-11128|-7638|4|165|3
672|-11360|-23014|4|205|3
673|-890|9950|10|155|3
674|-20420|16263|11|180|3
675|-19993|-18983|4|89|3
676|-19831|-22871|4|89|3
677|-19721|-3464|8|213|3
678|286|11507|10|138|3
679|16095|-4084|5|78|3
680|11497|19687|12|124|3
681|-18574|-19913|4|89|3
682|15042|-21653|13|65|3
683|-23507|-12337|4|201|3
684|-17520|15596|11|180|3
685|-16205|14666|7|180|3
686|-9799|-4489|9|215|3
687|18935|-14820|13|189|3
688|9764|-12131|13|85|3
689|2534|3256|1|102|3
690|3860|-14835|13|24|3
691|-18294|17907|11|98|3
692|19699|4933|5|38|3
693|-6963|11239|7|171|3
694|6566|17593|10|61|3
695|5099|-18658|13|143|3
696|5987|-1621|5|134|3
697|16973|-2827|5|78|3
698|2638|14869|10|29|3
699|11449|-16047|13|220|3
700|19163|19768|12|112|3
701|18680|6424|5|169|3
702|-11384|6094|7|140|3
703|11484|-15997|13|220|3
704|-5692|-16760|4|122|3
705|8499|7704|12|40|3
706|-12910|-13665|4|90|3
707|-2339|10324|10|155|3
708|3108|6240|12|22|3
709|16219|5879|5|68|3
710|-14913|22296|6|173|3
711|4412|18295|10|61|3
712|-1758|-10695|2|64|3
713|9617|11074|12|178|3
714|-12355|-9071|4|165|3
715|-23330|22374|11|174|3
716|-1669|-3539|2|146|3
717|6884|23895|6|74|3
718|13611|12025|12|20|3
719|15074|-17402|13|15|3
720|-8156|-20238|4|182|3
721|22439|5561|5|107|3
722|-8802|19145|6|168|3
723|-15111|-17355|4|187|3
724|-1528|2061|1|55|3
725|-9891|19485|6|168|3
726|20656|-23633|13|42|3
727|-12322|3588|9|50|3
728|-7215|-16788|4|108|3
729|-4758|-20579|4|104|3
730|11337|5692|12|162|3
731|-13290|-16357|4|39|3
732|12469|4992|5|162|3
733|-7250|1026|3|93|3
734|16159|-21280|13|65|3
735|20657|18347|12|80|3
736|-22643|-9597|8|99|3
737|10734|4338|5|26|3
738|1947|15359|10|29|3
739|-9324|-19090|4|108|3
740|21246|-12250|13|77|3
741|-17660|-8735|4|116|3
742|21710|11492|5|216|3
743|-20857|-23531|4|130|3
744|-9309|-23242|4|30|3
745|-10263|4784|7|54|3
746|-5077|18653|6|25|3
747|4756|-3512|2|19|3
748|-2531|-6360|2|95|3
749|18294|-18702|13|161|3
750|-15056|-1978|9|166|3
751|20823|4409|5|38|3
752|1732|-8212|2|32|3
753|-7126|-9568|4|172|3
754|4660|-12207|2|149|3
755|11714|19707|12|124|3
756|-22766|-8724|8|99|3
757|-4593|8796|1|155|3
758|-7289|2980|3|93|3
759|-21764|23961|11|202|3
760|8481|11600|12|178|3
761|-9399|-19413|4|108|3
762|-20535|21197|11|202|3
763|15445|-9847|13|135|3
764|19423|-20875|13|176|3
765|8674|-16724|13|121|3
766|16732|2423|5|36|3
767|8834|-18385|13|120|3
768|5010|22695|6|69|3
769|-9257|9744|7|171|3
770|4078|399|12|156|3
771|-23050|-15298|4|100|3
772|-13210|-2532|9|157|3
773|136|2373|1|55|3
774|-18990|19029|11|98|3
775|-16220|18121|11|197|3
776|20398|-5655|5|181|3
777|-7220|14060|7|158|3
778|-879|15769|10|133|3
779|-3261|2039|1|55|3
780|-11042|-5541|4|114|3
781|17965|-399|5|131|3
782|18769|-4754|5|181|3
783|19214|7147|5|38|3
784|-3025|-23384|2|44|3
785|-1120|-13812|2|83|3
786|-11319|23031|6|200|3
787|8854|11438|12|178|3
788|-21034|-11101|4|123|3
789|-19290|1972|9|150|3
790|-2781|-22905|2|44|3
791|4982|-23118|13|28|3
792|10461|-5817|13|147|3
793|-23467|718|8|196|3
794|-2043|-9291|2|64|3
795|-10065|13682|7|132|3
796|14546|10690|12|199|3
797|7574|-11419|13|58|3
798|-2364|-4523|2|88|3
799|7283|-11420|13|58|3
800|11407|-14935|13|195|3
801|-23961|21980|11|174|3
802|-23340|-23529|4|130|3
803|-21086|-2717|8|192|3
804|-1433|7553|1|155|3
805|-7868|21132|6|47|3
806|14706|17969|12|109|3
807|15100|1642|5|36|3
808|-12663|-558|9|105|3
809|20548|10105|5|59|3
810|-22326|12487|11|160|3
811|-19959|22580|11|202|3
812|-18761|-11182|4|116|3
813|4138|-13157|2|211|3
814|-4825|18532|6|25|3
815|3405|-11715|2|211|3
816|6059|15921|10|186|3
817|21499|20713|12|80|3
818|-7823|-12625|4|16|3
819|3451|23414|6|177|3
820|20523|3184|5|38|3
821|-23621|-10139|8|99|3
822|23518|-7173|5|203|3
823|-16392|16638|11|145|3
824|-8617|19315|6|168|3
825|17133|23625|12|21|3
826|-7764|-10763|4|14|3
827|19507|15425|12|92|3
828|-6952|14613|6|117|3
829|-7227|14671|6|117|3
830|13906|-18669|13|15|3
831|-22820|18793|11|174|3
832|10242|4393|12|193|3
833|23773|-6658|5|203|3
834|8055|21542|10|74|3
835|-6826|6326|3|43|3
836|-8289|20995|6|47|3
837|-11575|-16571|4|108|3
838|6918|22010|10|74|3
839|-14943|11713|7|167|3
840|11415|-7950|13|106|3
841|-7071|15111|6|117|3
842|22195|-2901|5|71|3
843|1210|-14685|2|24|3
844|-22364|2195|8|196|3
845|-5925|-13516|2|16|3
846|-12847|11145|7|167|3
847|-7474|-23908|4|182|3
848|14827|-23207|13|206|3
849|-17179|-3503|8|166|3
850|-1432|-17262|2|75|3
851|1878|5759|10|22|3
852|1271|-6567|2|125|3
853|-6761|19360|6|184|3
854|14818|22862|12|128|3
855|19255|22006|12|21|3
856|-7423|12507|7|171|3
857|-7707|-18096|4|108|3
858|14261|-22534|13|206|3
859|5677|-660|5|96|3
860|-23524|-16664|4|100|3
861|-5958|-5657|2|209|3
862|7981|4785|12|219|3
863|9432|16678|12|154|3
864|22102|-7463|5|203|3
865|-9396|-13944|4|39|3
866|3142|-9245|2|32|3
867|-5515|18935|6|25|3
868|21714|23791|12|21|3
869|-17562|-21546|4|187|3
870|-141|-1380|2|163|3
871|-12272|14938|7|132|3
872|-21292|23591|11|202|3
873|-14409|-19295|4|187|3
874|19894|-23913|13|42|3
875|-14609|12419|7|167|3
876|-541|-13594|2|83|3
877|8266|-11228|13|58|3
878|19731|7181|5|38|3
879|11544|3419|5|193|3
880|-18325|-1222|8|213|3
881|-3826|6021|1|155|3
882|-16699|-19506|4|187|3
883|19358|-3305|5|181|3
884|13669|-11709|13|195|3
885|-11201|-20453|4|91|3
886|-15535|-11432|4|90|3
887|11081|15919|12|76|3
888|-8294|-14454|4|39|3
889|-18048|-18243|4|89|3
890|-12516|20425|6|45|3
891|-18200|-15772|4|89|3
892|-23013|7014|8|160|3
893|-10216|11552|7|97|3
894|-5435|18968|6|25|3
895|-2089|-15065|2|122|3
896|12576|23901|12|128|3
897|-8438|5713|3|140|3
898|-3719|18577|6|25|3
899|-19148|7940|9|72|3
900|21480|-8211|5|203|3
901|-1243|-22035|2|44|3
902|16795|-5010|5|141|3
903|17064|14397|12|17|3
904|-7860|16152|6|184|3
905|7064|-20962|13|120|3
906|-7969|21908|6|47|3
907|-7606|11297|7|171|3
908|17133|-10934|13|135|3
909|331|-18256|2|75|3
910|-14574|18037|6|197|3
911|-14997|12340|7|167|3
912|-21775|18598|11|174|3
913|-22579|-19328|4|130|3
914|-16855|-2832|9|166|3
915|-5427|21087|6|49|3
916|9034|8952|12|66|3
917|23534|7415|5|107|3
918|-3203|-8694|2|64|3
919|-9488|-15167|4|39|3
920|22597|5470|5|107|3
921|-4140|-19183|2|104|3
922|22643|-20376|13|94|3
923|19602|23711|12|21|3
924|-23668|21392|11|174|3
925|15686|1898|5|36|3
926|9035|5336|12|26|3
927|5767|6850|12|33|3
928|-4398|-17885|2|104|3
